feature,fire_cellA,rho_year,cos_ridge,fire_eng_tier0,fire_akk_maximal
38678,0.6164912748101772,0.5681878616402589,0.08503647,0.002527379949452401,0.0
41906,0.12028773145064606,0.4124298408511025,0.079135664,0.0,0.0
35304,0.41880911149593714,0.3966544009849364,0.05573395,0.002527379949452401,0.002527379949452401
50840,0.27587584920740643,-0.3754198815458268,-0.08167071,0.0016849199663016006,0.0
44579,0.0815239110163847,-0.36193480063430267,-0.056201596,0.0,0.006739679865206402
31934,0.2572265885173838,-0.35421052618679294,-0.11577315,0.02106149957877001,0.0008424599831508003
50201,0.3448781137604902,0.3540683773421057,0.035065565,0.0008424599831508003,0.005897219882055603
49994,0.08325562808045824,-0.35291346800503187,-0.08496298,0.006739679865206402,0.030328559393428812
27741,0.21193552684161449,0.34708313208409497,0.078270644,0.007582139848357203,0.0
60721,0.11429332622885308,0.34258324679868635,0.047971554,0.0,0.0
56873,0.12215265751964832,0.3305881808858824,0.08111265,0.007582139848357203,0.0
59166,0.06287465032636207,-0.3275579793651614,-0.017425532,0.038753159224936815,0.0008424599831508003
33938,0.0590115891834288,-0.3227187940514286,-0.09064954,0.0008424599831508003,0.0
62764,0.8468096443319568,0.31211149358346985,0.026259098,0.018534119629317607,0.0
2915,0.15239110163847075,0.31135014666374916,0.07102605,0.002527379949452401,0.0
65093,0.05461569202078061,-0.30268127794915356,-0.03145091,0.0,0.002527379949452401
20959,0.051285466897562276,-0.29527279533673856,-0.023606148,0.0,0.016006739679865205
26360,0.049553749833488744,-0.2950357831033712,-0.1746021,0.005054759898904802,0.0008424599831508003
21548,0.04648994272012788,-0.29207550951016165,-0.055110157,0.0,0.0
41823,1.0,-0.2843077544370503,0.016748674,0.7598989048020219,1.0
7042,0.05967763420807246,0.28332917179506556,0.09457922,0.0,0.0
18791,0.053283601971493275,0.2801979717370031,0.05593199,0.0,0.0
26916,0.05554815505528174,0.2751752150616828,0.016428871,0.0008424599831508003,0.002527379949452401
41732,0.12175303050486212,0.2741994074633937,0.009585777,0.0,0.0
10027,0.3187691487944585,0.27141618611333884,0.05039806,0.006739679865206402,0.0
25712,0.33994938057812707,-0.2687907329197577,-0.025561942,0.17691659646166807,0.12805391743892164
50279,0.039296656453976286,-0.26698648077217807,-0.23380908,0.4709351305812974,0.0
34487,0.09670973757826029,0.26188855969196506,0.054300245,0.0,0.0
14837,0.033968296256826964,-0.2589453069765034,-0.034394953,0.0,0.0
8927,0.30678033835087254,-0.2586481482526821,0.006944853,0.09351305812973884,0.0008424599831508003
1047,0.5670707339816171,0.2528972484955567,0.029794047,0.0008424599831508003,0.0
7996,0.13680564806180898,-0.2504326140830345,0.01662249,0.19292333614153329,0.07919123841617523
34254,0.2364459837485014,0.24871413206567297,-0.00024404713,0.002527379949452401,0.0
53041,0.362461702411083,-0.24645259332119893,6.479254e-05,0.018534119629317607,0.13310867733782644
48566,0.32463034501132276,0.24635255986092644,0.03076031,0.0,0.0
30370,0.13174370587451711,0.2425624089137537,0.046896823,0.010109519797809604,0.0
18201,0.05101904888770481,0.23957074307208265,0.060518704,0.0,0.0
35765,0.10643399493805782,0.2369421152336518,0.046085887,0.0008424599831508003,0.0
33291,0.04369255361662448,0.23265782949907962,0.053402796,0.0,0.0
12014,0.09644331956840282,-0.23119842618036668,-0.1111527,0.8121314237573716,0.9309182813816343
370,0.036366058345544156,-0.23093932730063282,-0.021257749,0.0,0.0
21697,0.03303583322232583,-0.22786748026643527,-0.043069758,0.0008424599831508003,0.0
64419,0.17836685759957374,0.22747441480653177,0.095457,0.0008424599831508003,0.0
13462,0.297056080991075,-0.22506376128811237,-0.015957095,0.09435551811288964,0.013479359730412805
31210,0.027307846010390303,-0.22440466789086658,-0.056338243,0.0,0.003369839932603201
10327,0.11082989210070601,0.22227495745373538,0.06329269,0.0,0.0
35250,0.16757692820034634,-0.2221178805268588,-0.06577455,0.17270429654591407,0.002527379949452401
45427,0.04808845077927268,-0.2197537613086768,-0.037475713,0.0008424599831508003,0.0
34686,0.22139336619155456,0.2197290775893437,-0.029118976,0.0,0.0
7461,0.044625016651125615,-0.21959023165640365,-0.011558864,0.0,0.0
