method,entity_type,site,probe,layer,test_r2,test_spearman,train_r2,is_best
gpt_oss_120b,world_place,last,ridge,11,0.7988967387915835,0.8793282766863143,0.841714825543525,False
gpt_oss_120b,world_place,last,ridge,12,0.806894416862866,0.8813328329072487,0.8485700823145992,True
gpt_oss_120b,world_place,last,ridge,13,0.7957974606519396,0.8746944510450116,0.8424931718335649,False
gpt_oss_120b,world_place,last,ridge,14,0.7897789575882941,0.870573915587189,0.8373594455003006,False
gpt_oss_120b,world_place,last,ridge,15,0.7848926805096987,0.865844367718706,0.8331382342513671,False
gpt_oss_120b,world_place,last,ridge,16,0.7815327924906008,0.863242692877328,0.8295744532744181,False
gpt_oss_120b,world_place,last,ridge,17,0.7815036316357753,0.8626353558912294,0.8321153219283206,False
gpt_oss_120b,world_place,last,ridge,18,0.7879901786144905,0.8656175502377093,0.8389124494803017,False
gpt_oss_120b,world_place,last,ridge,19,0.7939517733411965,0.8677898946344809,0.843382286361299,False
gpt_oss_120b,world_place,last,ridge,20,0.7898072610542881,0.8681111391049964,0.8429414394308075,False
gpt_oss_120b,world_place,last,ridge,21,0.7945549168286197,0.8717558025200847,0.8443513348781675,False
gpt_oss_120b,world_place,last,ridge,22,0.7964841798836619,0.8719257835452955,0.8452159986157821,False
gpt_oss_120b,world_place,last,ridge,23,0.785386048003645,0.865818028998169,0.8370756102644439,False
gpt_oss_120b,world_place,last,ridge,24,0.7815393519337577,0.8653724804444992,0.8353464603466424,False
gpt_oss_120b,world_place,last,ridge,25,0.7749557875788484,0.8630009856848966,0.831581467673711,False
gpt_oss_120b,world_place,last,ridge,26,0.7627453825810648,0.8585361391521915,0.82126410128347,False
gpt_oss_120b,world_place,last,ridge,27,0.7635492960562652,0.8595843961396055,0.823199413394027,False
gpt_oss_120b,world_place,last,ridge,28,0.7575151652355769,0.8566986316587324,0.8190957374385176,False
gpt_oss_120b,world_place,last,ridge,29,0.7641955948843426,0.858559576796299,0.8242805357938623,False
gpt_oss_120b,world_place,last,ridge,30,0.7746751885447456,0.8640344243062762,0.8296842546257066,False
gpt_oss_120b,world_place,last,ridge,31,0.771297467635166,0.8622601356931644,0.8292313923396566,False
gpt_oss_120b,world_place,last,ridge,32,0.7698860972373791,0.8623248088034345,0.8285486151756594,False
gpt_oss_120b,world_place,last,ridge,33,0.7719298038439026,0.8629457252863061,0.8306171202585502,False
gpt_oss_120b,world_place,last,ridge,34,0.7736396179675538,0.8636215759468714,0.8319051843836506,False
gpt_oss_120b,world_place,last,ridge,35,0.7753422576316902,0.8639258787965103,0.8327280316884618,False
