arm,variant,rulers,target,hold_r2,hold_rho,mc_rho,mc_rho_sd,mc_r2,loro_rho,loro_r2
llama2_13b,akk_maximal,r40,year,0.114,0.295,nan,nan,nan,0.126,-0.133
llama2_13b,akk_maximal,r40,geo,0.138,0.309,nan,nan,nan,0.307,0.07
llama2_13b,eng_maximal,r8,year,0.411,0.562,0.378,0.067,0.139,0.053,-0.13
llama2_13b,eng_maximal,r8,geo,0.155,0.46,0.234,0.079,0.048,0.229,-0.029
llama2_13b,eng_maximal,r40,year,0.074,0.209,nan,nan,nan,-0.041,-0.233
llama2_13b,eng_maximal,r40,geo,0.238,0.461,nan,nan,nan,0.27,0.037
llama2_13b_random,akk_maximal,r8,year,0.291,0.472,0.369,0.09,0.166,-0.022,-0.218
llama2_13b_random,akk_maximal,r8,geo,0.087,0.224,0.194,0.082,0.024,0.118,-0.13
llama2_13b_random,akk_maximal,r40,year,0.155,0.302,nan,nan,nan,0.079,-0.271
llama2_13b_random,akk_maximal,r40,geo,0.192,0.323,nan,nan,nan,0.18,-0.057
llama2_13b_random,eng_maximal,r8,year,0.256,0.447,0.389,0.079,0.174,0.028,-0.183
llama2_13b_random,eng_maximal,r8,geo,0.049,0.249,0.2,0.074,0.047,0.13,-0.121
llama2_13b_random,eng_maximal,r40,year,0.111,0.453,nan,nan,nan,0.088,-0.227
llama2_13b_random,eng_maximal,r40,geo,0.177,0.304,nan,nan,nan,0.185,-0.044
llama2_70b,akk_maximal,r8,year,0.428,0.596,0.331,0.08,0.116,0.024,-0.158
llama2_70b,akk_maximal,r8,geo,0.148,0.39,0.269,0.074,0.001,0.241,-0.003
llama2_70b,akk_maximal,r40,year,0.152,0.285,nan,nan,nan,0.108,-0.244
llama2_70b,akk_maximal,r40,geo,0.165,0.417,nan,nan,nan,0.33,0.074
llama2_70b,eng_maximal,r8,year,0.407,0.577,0.428,0.071,0.209,0.064,-0.169
llama2_70b,eng_maximal,r8,geo,0.176,0.416,0.299,0.077,0.041,0.259,0.041
llama2_70b,eng_maximal,r40,year,0.068,0.188,nan,nan,nan,-0.01,-0.257
llama2_70b,eng_maximal,r40,geo,0.241,0.418,nan,nan,nan,0.311,0.12
llama2_70b_random,akk_maximal,r8,year,0.224,0.409,0.305,0.089,0.118,-0.117,-0.305
llama2_70b_random,akk_maximal,r8,geo,0.018,0.165,0.055,0.076,0.011,0.099,-0.082
llama2_70b_random,akk_maximal,r40,year,0.046,0.248,nan,nan,nan,0.012,-0.284
llama2_70b_random,akk_maximal,r40,geo,0.164,0.31,nan,nan,nan,0.194,0.03
llama2_70b_random,eng_maximal,r8,year,0.132,0.284,0.245,0.09,0.09,-0.092,-0.275
llama2_70b_random,eng_maximal,r8,geo,-0.031,0.058,0.046,0.078,0.01,0.026,-0.115
llama2_70b_random,eng_maximal,r40,year,0.052,0.183,nan,nan,nan,0.065,-0.793
llama2_70b_random,eng_maximal,r40,geo,0.096,0.194,nan,nan,nan,0.117,-0.071
