arm,entity_type,site,rows,layer,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
llama2_70b_random,assyrian_ruler,ent_mean,all,1,204,34,True,-0.3756447399333013,1.6805701610243589,0.2742553029153371,0.3393285829007296,-0.35902956584835316,1.6406989752724137,0.27860139031627307,0.3396280198982643,-0.6490057557679751,0.15714666308469186
olmo2_7b,assyrian_ruler,ent_mean,all,8,204,34,False,-0.4787284415526788,2.079232766781722,0.34331143967461636,0.36493894577880903,-0.2723601133768394,2.060502827808419,0.4274340127571405,0.35451188628323876,-0.6661153208375474,-0.3447404921420428
olmo2_7b_random,assyrian_ruler,ent_mean,all,18,204,34,False,-0.424454432371158,1.6198876879801862,0.3101534937637464,0.3172043365433835,-0.34184476650808904,1.5956627685030356,0.3393631297646135,0.3331138164425963,-0.559810432033365,0.2926856599952386
llama2_70b,assyrian_ruler,ent_mean,bare,29,34,34,False,-0.04692219691826139,1.0051438783697415,0.4625000000000001,0.3490100796743351,-0.320198588292537,1.8204421552817367,0.36696428571428585,0.34999886114975076,-0.1142234373856581,0.39285714285714296
llama2_13b,assyrian_ruler,ent_mean,bare,8,34,34,False,-0.0643694598112271,1.1744997198844942,0.4826785714285715,0.35513682150657927,-0.2824800797365147,1.9743372354040218,0.4169642857142858,0.3606070827261231,-0.12893526218152718,0.42857142857142866
llama2_7b,assyrian_ruler,ent_mean,bare,8,34,34,False,-0.10057512756703729,1.1389443780921749,0.476607142857143,0.3073005720489838,-0.5435847941292213,2.476551891275695,0.3330357142857143,0.34866614455255457,-0.2596258635356008,0.4642857142857144
gpt_oss_120b,assyrian_ruler,ent_mean,bare,11,34,34,False,-0.15294196925827527,1.469038421392666,0.43767857142857153,0.31473177558235926,-0.396841495244919,2.3392523198621276,0.3958928571428572,0.3352728385591506,-0.6325100008016853,0.28571428571428575
qwen3_32b,assyrian_ruler,ent_mean,bare,61,34,34,False,-0.10077599582827436,1.184642965001,0.43553571428571436,0.3210056245136334,-0.2532754013839736,1.7570603605175261,0.41142857142857153,0.32411496448649463,0.016261560515065998,0.3571428571428572
qwen3_8b,assyrian_ruler,ent_mean,bare,36,34,34,False,-0.03604977271548308,1.5106514330844039,0.500357142857143,0.3336752285730323,-0.1354294374846059,2.0660031784267527,0.45821428571428585,0.3408069281057796,-0.18199092110738313,0.07142857142857144
qwen3_1b7,assyrian_ruler,ent_mean,bare,3,34,34,False,-0.19587680027156815,1.592093095975097,0.40321428571428586,0.309038791237922,-1.2154792635695852,5.0704691374841815,0.17500000000000004,0.3721318890623899,-0.12209813092911803,0.6785714285714287
thalesian_cunei400m,assyrian_ruler,ent_mean,bare,12,34,34,False,-0.03674406706049547,1.1029292540546245,0.50875,0.31140107799677097,-0.30621104154776546,1.8008099587576643,0.3967857142857143,0.35248371651490984,-0.28920531113160974,0.3214285714285715
thalesian_akk300m,assyrian_ruler,ent_mean,bare,6,34,34,False,-0.02030516537073469,1.012391681937467,0.5673214285714286,0.28787525421577304,-0.7107909558416163,2.176387266678841,0.3148214285714287,0.3508749541052587,-0.0898146388802783,0.03571428571428572
umt5_base,assyrian_ruler,ent_mean,bare,8,34,34,False,-0.09453291963930215,1.3271857806805334,0.42732142857142863,0.3365941642060229,-0.09957747406939724,1.316720162115105,0.4214285714285715,0.3335224803487154,-0.17252517375100251,-0.07142857142857144
random,assyrian_ruler,ent_mean,bare,3,34,34,True,-0.40933606660195465,1.3065295706820617,-0.038392857142857145,0.3849684836689458,-0.7806791375655545,2.3052181498954387,0.01035714285714286,0.39569736296976327,-0.9166232671156238,-0.6071428571428572
llama2_7b_random,assyrian_ruler,ent_mean,bare,7,34,34,True,-0.38318052146824555,1.4486155677380945,0.3107142857142858,0.3600595188893875,-0.45692126708270125,1.810350440242071,0.28678571428571437,0.3559786381460643,-0.629811426265013,0.6785714285714287
llama2_13b_random,assyrian_ruler,ent_mean,bare,10,34,34,True,-0.34619895157921815,1.478161071811906,0.3012500000000001,0.3612191922461192,-0.5191391234102645,1.9301494721569408,0.23696428571428577,0.3581090056798064,-0.6846911313179291,0.3571428571428572
llama2_70b_random,assyrian_ruler,ent_mean,bare,1,34,34,True,-0.3509392549621762,1.563742323398491,0.3135714285714286,0.3743218357706292,-0.4311733929641756,1.8224571258350568,0.2803571428571429,0.3801307173130028,-0.6867611073642472,-0.07142857142857144
olmo2_7b,assyrian_ruler,ent_mean,bare,12,34,34,False,-0.05523965729447225,1.0171249065510755,0.5166071428571429,0.3045755975826973,-0.34404384370894064,1.9031945211708576,0.41250000000000014,0.35774502806054603,-0.2330724339915169,0.3214285714285715
olmo2_7b_random,assyrian_ruler,ent_mean,bare,26,34,34,False,-0.4623659191834918,1.5610215316669895,0.26946428571428577,0.36249203896958426,-0.53464764534997,2.011970576636154,0.3183928571428572,0.3742642016036811,-0.7754067201873514,-0.1785714285714286
llama2_70b,assyrian_ruler,last,all,39,204,34,False,0.37089242645844167,0.5910284701021159,0.6775231053899847,0.17711913657779776,0.32239433269632883,0.6051704310057017,0.6430343236761163,0.17665540400353652,0.3151053180216794,0.354562158584836
llama2_13b,assyrian_ruler,last,all,20,204,34,False,0.11388360424824404,0.807229980203845,0.562079238021393,0.23681134359687375,0.09139355594917138,0.8620207678121645,0.5618828046925372,0.22723175730757375,0.3756262732424872,0.4341176567714613
llama2_7b,assyrian_ruler,last,all,1,204,34,False,0.020713306268258503,0.7400351463827869,0.4864769605779921,0.22583989003722704,-0.09535148639518633,0.8046162595556613,0.44566302567496474,0.22531207866288974,0.09456043749269116,0.48224382234114815
gpt_oss_120b,assyrian_ruler,last,all,11,204,34,False,0.19615759701002006,0.6096605101498304,0.6145072934930232,0.19678691662974548,0.20377915057270152,0.5670349962738911,0.6083441978001706,0.21378773742455515,0.3065171944079038,0.7071599838811135
qwen3_32b,assyrian_ruler,last,all,49,204,34,False,0.2419975171141317,0.870315550539838,0.627987530685757,0.19416057860707764,0.15583023397001297,0.7372022649902916,0.5604733955579964,0.19961687748742393,0.30095571983975866,0.38893799113461236
qwen3_8b,assyrian_ruler,last,all,23,204,34,False,-0.07512252001555057,1.2608810901761407,0.5060711851313645,0.2397055766379991,0.13411927849523064,0.6223005250789397,0.5596041780778092,0.23716389932959572,0.025637797004140594,0.2956321599280765
qwen3_1b7,assyrian_ruler,last,all,7,204,34,False,-0.2261555881407111,1.3968316540623464,0.4445728206998147,0.24030753592627818,-0.11837024980235233,1.3801143635155562,0.4713614159225332,0.23742820482364127,0.19359922763033144,0.6187649858959743
thalesian_cunei400m,assyrian_ruler,last,all,10,204,34,False,-0.07114216570095927,0.993806993434778,0.44992071807791556,0.26311817636393153,0.014822593485367986,0.8698161480255452,0.49974112110898433,0.24528447524695948,-0.37669743356207674,0.2975964932166352
thalesian_akk300m,assyrian_ruler,last,all,1,204,34,False,-0.22333981945852266,1.1374004664823376,0.41791681797407376,0.22898536541594455,-0.16196253481815157,1.0349601368446806,0.42676122860580906,0.21822463130705425,-0.253038961700224,0.3339366590549702
umt5_base,assyrian_ruler,last,all,6,204,34,False,-0.15109614539732694,0.9512209519022216,0.40996126815541134,0.2436241167459091,-0.11062017353212449,0.9260332213616864,0.41983204293041854,0.23268097439183733,-0.5014249274575877,0.19446899556730618
random,assyrian_ruler,last,all,1,204,34,True,-0.234244912083215,1.535878041260354,0.3181385085817373,0.3406385122645283,-0.2405270220949708,1.5729185339044294,0.3289030550030387,0.34375346987712274,-0.773525106984414,0.16893266281604374
llama2_7b_random,assyrian_ruler,last,all,1,204,34,True,-0.12944410994353095,1.4512133235333333,0.4447839865283348,0.29053790961659876,-0.07542498517269744,1.4695012153598974,0.47684681663083334,0.29146476550510864,-0.046261168188782786,0.387955824490333
llama2_13b_random,assyrian_ruler,last,all,7,204,34,True,-0.14265053035487787,1.2343265268678814,0.37063040488524573,0.28169749985863124,-0.14151481673020944,1.2371198596389796,0.37135720820201246,0.28236773459168696,-0.16591635360824664,0.4586718228784444
llama2_70b_random,assyrian_ruler,last,all,9,204,34,True,-0.07416350748696178,1.1874405821941412,0.4437919982176126,0.2683088143716154,-0.07418581009639234,1.188296197271212,0.4430701057340673,0.268464381643818,-0.21403130768803602,0.44197498992569584
olmo2_7b,assyrian_ruler,last,all,1,204,34,False,-0.2055808910247136,1.0355456475645397,0.3976399876029271,0.2800740285805371,-0.2274829225150504,0.9746900180333012,0.38797546782321857,0.23962283688055389,-0.04041484896994341,0.4567074895898857
olmo2_7b_random,assyrian_ruler,last,all,2,204,34,False,-0.09444987038329622,1.2933517065942384,0.4264469352796397,0.3264095954468144,-0.09941721169883977,1.320670995427403,0.4296144227074406,0.32499501386460306,-0.48059247297409624,0.1866116624130716
llama2_70b,assyrian_ruler,last,bare,45,34,34,False,0.38825906966473306,0.5555302227622972,0.7007142857142858,0.21525258063351474,0.3929705257379059,0.5632526425962932,0.7025000000000001,0.21562409420099607,0.6143087489513317,0.5714285714285715
llama2_13b,assyrian_ruler,last,bare,21,34,34,False,0.1780043878654055,0.6457377196223136,0.6182142857142858,0.25305253749902196,0.17045493263198505,0.6488107380065561,0.5839285714285716,0.26014492624893004,0.15665213949004686,1.0
llama2_7b,assyrian_ruler,last,bare,22,34,34,False,0.07456824581739277,0.9344249190089577,0.5266071428571429,0.27386122053376766,0.015282865620654703,1.077457724145775,0.48946428571428574,0.2944381864895675,0.34763228876769914,0.6785714285714287
gpt_oss_120b,assyrian_ruler,last,bare,11,34,34,False,0.36998977744288325,0.5911511113262111,0.6632142857142859,0.23379930997960366,0.371354597017567,0.5969411611229389,0.6628571428571429,0.23152775652352428,0.2144164103936227,0.5357142857142858
qwen3_32b,assyrian_ruler,last,bare,53,34,34,False,0.34615888753262497,0.47496762463947934,0.6269642857142859,0.23424045457867543,0.3585686819905496,0.4884880669724069,0.6242857142857143,0.2417506304995683,0.524852258676883,0.3214285714285715
