arm,entity_type,site,layer,rows,n,n_entities,is_control,ridge_mc_r2,ridge_mc_r2_sd,ridge_mc_rho,ridge_mc_rho_sd,pls5_mc_r2,pls5_mc_r2_sd,pls5_mc_rho,pls5_mc_rho_sd,ridge_holdout_r2,ridge_holdout_rho
gpt_oss_120b,assyrian_ruler,ent_last,1,all,204,34,False,-0.46610386750859734,1.8151238410025397,0.31686660277739553,0.3728658331184829,-0.37003415211830165,1.2575878638534557,0.3386215939481826,0.3172858859180286,-1.0858589779157009,-0.13161033033342942
gpt_oss_120b,assyrian_ruler,ent_last,1,bare,34,34,False,-0.32953596366817217,1.2689349563819008,0.3225000000000001,0.35188830991247955,-0.34329216144900804,1.1432689164419287,0.3133928571428572,0.33859775176453855,-0.5646819411421788,0.14285714285714288
gpt_oss_120b,assyrian_ruler,ent_last,2,all,204,34,False,-0.5151362477396121,1.65362542630299,0.26792523889295683,0.33788776039997587,-0.35289350754542825,1.3829692770083948,0.36856785493225913,0.30297216296573587,-1.2498278333604236,-0.18268299583595426
gpt_oss_120b,assyrian_ruler,ent_last,2,bare,34,34,False,-0.15489806057776787,0.9963885692305551,0.4301785714285715,0.3095482533846209,-0.2584322082891116,1.1488401870011848,0.399107142857143,0.3052566146135185,-0.49261711576415523,0.3214285714285715
gpt_oss_120b,assyrian_ruler,ent_last,3,all,204,34,False,-0.2509526844648971,1.545273234718786,0.4123381114345673,0.29749491138025114,-0.07019492073563678,1.11992461039967,0.514336117442975,0.2477773822505955,-0.12004173912916483,0.023571999462703778
gpt_oss_120b,assyrian_ruler,ent_last,3,bare,34,34,False,0.12882160987983704,0.656528028215547,0.555357142857143,0.22956675033014445,0.01435100655723756,0.7733459620780957,0.5083928571428572,0.23896507034907594,0.19529070231188073,0.4642857142857144
gpt_oss_120b,assyrian_ruler,ent_last,4,all,204,34,False,-0.2028032722538651,1.2514615673501035,0.3820824679575427,0.29774292254981943,-0.1330809011490276,1.3047596440296443,0.4801321640559476,0.2697577279170776,-0.13068356356108168,-0.0648229985224354
gpt_oss_120b,assyrian_ruler,ent_last,4,bare,34,34,False,-0.034799025789634744,0.862917718517457,0.5216071428571429,0.28513104532864203,-0.14812478407971952,1.317760045555338,0.46267857142857155,0.2821947850043893,-0.15215796182942198,0.25
gpt_oss_120b,assyrian_ruler,ent_last,5,all,204,34,False,0.07547828682226704,0.7548472378621001,0.51576025907718,0.2545334257855442,0.03802352894421643,0.8057066939638647,0.5332624686782377,0.23720957682191998,0.3214126666405497,0.32509715925645627
gpt_oss_120b,assyrian_ruler,ent_last,5,bare,34,34,False,-0.00799211650686824,0.8489393696278352,0.49553571428571447,0.2752303650154369,-0.05779501238579585,1.0101883579613216,0.47946428571428584,0.25974471130519755,0.0033838392470926237,0.25
