level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,thalesian_cunei400m,-0.2211
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_cunei400m,0.1844
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,thalesian_cunei400m,-0.2211
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_cunei400m,0.3066
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,thalesian_cunei400m,-0.2213
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.1349
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,thalesian_akk300m,-0.2199
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.2883
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,thalesian_akk300m,-0.2202
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.1596
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,thalesian_akk300m,-0.22
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.4004
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,thalesian_akk300m,-0.2164
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.0469
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,umt5_base,-0.2213
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.1665
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,umt5_base,-0.221
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.0891
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,umt5_base,-0.221
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.2845
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,umt5_base,-0.2207
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,random,0.2345
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,random,-0.2211
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,random,0.28
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,random,-0.2204
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,random,0.2269
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,random,-0.221
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,random,0.2508
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,random,-0.2209
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.1469
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,llama2_7b_random,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.2737
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,llama2_7b_random,-0.2205
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.1801
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,llama2_7b_random,-0.2211
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b_random,0.1797
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,llama2_7b_random,-0.2208
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.1443
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,llama2_13b_random,-0.2212
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.2729
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,llama2_13b_random,-0.2207
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.1472
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,llama2_13b_random,-0.2212
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b_random,0.2045
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,llama2_13b_random,-0.2208
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.0857
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,r2,year,llama2_70b_random,-0.2213
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.322
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,r2,year,llama2_70b_random,-0.2208
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.1131
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,r2,year,llama2_70b_random,-0.2213
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b_random,0.2681
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,r2,year,llama2_70b_random,-0.2209
fragment,AKK,obscure,maximal,text,ridge,ruler_MC_r8_group,spearman,year,tfidf,0.3302
fragment,AKK,obscure,maximal,text,ridge,ruler_MC_r8_group,r2,year,tfidf,-0.2103
fragment,EN,obscure,tier0,text,ridge,ruler_MC_r8_group,spearman,year,tfidf,0.4085
fragment,EN,obscure,tier0,text,ridge,ruler_MC_r8_group,r2,year,tfidf,-0.2021
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6843
entity,EN,obscure,rows_bare,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,0.3508
entity,EN,obscure,rows_bare,ent_last,pls5,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6913
entity,EN,obscure,rows_bare,ent_last,pls5,entity_MC_heldout_entities,r2,year,llama2_70b,0.3646
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6867
entity,EN,obscure,rows_all,ent_last,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,0.389
entity,EN,obscure,rows_all,ent_last,pls5,entity_MC_heldout_entities,spearman,year,llama2_70b,0.6903
entity,EN,obscure,rows_all,ent_last,pls5,entity_MC_heldout_entities,r2,year,llama2_70b,0.3973
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.3968
entity,EN,obscure,rows_bare,ent_mean,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,-0.2011
entity,EN,obscure,rows_bare,ent_mean,pls5,entity_MC_heldout_entities,spearman,year,llama2_70b,0.4663
entity,EN,obscure,rows_bare,ent_mean,pls5,entity_MC_heldout_entities,r2,year,llama2_70b,-0.1076
entity,EN,obscure,rows_all,ent_mean,ridge,entity_MC_heldout_entities,spearman,year,llama2_70b,0.423
entity,EN,obscure,rows_all,ent_mean,ridge,entity_MC_heldout_entities,r2,year,llama2_70b,-0.2578
entity,EN,obscure,rows_all,ent_mean,pls5,entity_MC_heldout_entities,spearman,year,llama2_70b,0.4472
