level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,thalesian_cunei400m,0.6256
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,thalesian_cunei400m,0.2724
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,thalesian_akk300m,0.3554
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,thalesian_akk300m,-0.0775
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,thalesian_akk300m,0.4439
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,thalesian_akk300m,0.1296
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,thalesian_akk300m,0.4688
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,thalesian_akk300m,0.1569
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,thalesian_akk300m,0.7401
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,thalesian_akk300m,0.5459
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,umt5_base,0.2106
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,umt5_base,-0.399
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,umt5_base,0.4884
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,umt5_base,-0.1837
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,umt5_base,0.2035
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,umt5_base,0.0224
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,umt5_base,0.6541
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,umt5_base,0.2603
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,random,0.4988
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,random,0.2854
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,random,0.5436
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,random,0.351
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,random,0.5319
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,random,0.3346
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,random,0.6355
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,random,0.4526
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,llama2_7b_random,0.4382
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,llama2_7b_random,0.226
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,llama2_7b_random,0.5619
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,llama2_7b_random,0.3686
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,llama2_7b_random,0.4393
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,r2,year,llama2_7b_random,0.2409
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,spearman,year,llama2_7b_random,0.6124
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8,r2,year,llama2_7b_random,0.4361
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,spearman,year,llama2_13b_random,0.3686
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8,r2,year,llama2_13b_random,0.1657
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,spearman,year,llama2_13b_random,0.5459
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8,r2,year,llama2_13b_random,0.358
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8,spearman,year,llama2_13b_random,0.374
