level,language,salience,cleaning,pooling,probe,protocol,metric,target,arm,value,readout
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,qwen3_8b,0.658,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,qwen3_8b,0.7793,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,qwen3_8b,0.6824,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,qwen3_8b,0.751,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,qwen3_8b,0.557,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,qwen3_8b,0.7473,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,qwen3_8b,0.5424,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,qwen3_1b7,0.8167,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,qwen3_1b7,0.6933,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,qwen3_1b7,0.8264,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,qwen3_1b7,0.7021,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,qwen3_1b7,0.6334,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,qwen3_1b7,0.4487,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,qwen3_1b7,0.6596,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,qwen3_1b7,0.501,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,qwen3_1b7,0.6973,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,qwen3_1b7,0.4762,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,qwen3_1b7,0.7046,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,qwen3_1b7,0.4795,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,thalesian_cunei400m,0.6165,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,thalesian_cunei400m,0.4011,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,thalesian_cunei400m,0.6744,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,thalesian_cunei400m,0.46,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,thalesian_cunei400m,0.2776,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,thalesian_cunei400m,0.0905,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,thalesian_cunei400m,0.3264,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,thalesian_cunei400m,0.1263,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,thalesian_cunei400m,0.5527,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,thalesian_cunei400m,0.2985,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,thalesian_cunei400m,0.5939,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,thalesian_cunei400m,0.3428,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,thalesian_akk300m,0.5847,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,thalesian_akk300m,0.3587,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,thalesian_akk300m,0.6699,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,thalesian_akk300m,0.4481,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,thalesian_akk300m,0.2891,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,thalesian_akk300m,0.1018,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,thalesian_akk300m,0.3128,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,thalesian_akk300m,0.123,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,thalesian_akk300m,0.4671,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,thalesian_akk300m,0.2147,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,thalesian_akk300m,0.5534,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,thalesian_akk300m,0.2997,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,umt5_base,0.6205,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,umt5_base,0.4015,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,umt5_base,0.6984,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,umt5_base,0.4938,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,umt5_base,0.3015,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,umt5_base,0.0977,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,umt5_base,0.3589,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,umt5_base,0.1533,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,umt5_base,0.4904,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,umt5_base,0.2397,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,umt5_base,0.6019,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,umt5_base,0.3492,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,random,0.5038,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,random,0.2759,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,random,0.6243,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,random,0.4114,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,random,0.2016,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,random,0.0549,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,random,0.1949,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,random,-0.0328,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,random,0.442,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,random,0.1957,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,random,0.4356,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,random,0.2011,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,llama2_7b_random,0.5127,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,llama2_7b_random,0.281,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,llama2_7b_random,0.643,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,llama2_7b_random,0.4421,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,llama2_7b_random,0.1853,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,llama2_7b_random,0.0459,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,llama2_7b_random,0.2122,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,llama2_7b_random,0.009,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,llama2_7b_random,0.5117,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,llama2_7b_random,0.2603,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,llama2_7b_random,0.5785,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,llama2_7b_random,0.3264,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,llama2_13b_random,0.5093,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,llama2_13b_random,0.2844,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,llama2_13b_random,0.663,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,llama2_13b_random,0.4645,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,llama2_13b_random,0.1794,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,llama2_13b_random,0.0381,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,llama2_13b_random,0.201,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,llama2_13b_random,-0.0306,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,llama2_13b_random,0.5255,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,llama2_13b_random,0.2671,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,llama2_13b_random,0.5827,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,llama2_13b_random,0.3308,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,spearman,year,llama2_70b_random,0.4691,ridge
entity,EN,salient,historical_figure,last,ridge,holdout_entities,r2,year,llama2_70b_random,0.1975,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,spearman,year,llama2_70b_random,0.6675,ridge
entity,EN,salient,historical_figure,mean,ridge,holdout_entities,r2,year,llama2_70b_random,0.4776,ridge
entity,EN,salient,art,last,ridge,holdout_entities,spearman,year,llama2_70b_random,0.1326,ridge
entity,EN,salient,art,last,ridge,holdout_entities,r2,year,llama2_70b_random,0.0291,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,spearman,year,llama2_70b_random,0.1809,ridge
entity,EN,salient,art,mean,ridge,holdout_entities,r2,year,llama2_70b_random,-0.0412,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,spearman,year,llama2_70b_random,0.4769,ridge
entity,EN,salient,headline,last,ridge,holdout_entities,r2,year,llama2_70b_random,0.1475,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,spearman,year,llama2_70b_random,0.5704,ridge
entity,EN,salient,headline,mean,ridge,holdout_entities,r2,year,llama2_70b_random,0.3218,ridge
entity,EN,salient,historical_figure,text,ridge,holdout_entities,spearman,year,tfidf,0.7985,ridge
entity,EN,salient,historical_figure,text,ridge,holdout_entities,r2,year,tfidf,0.6454,ridge
entity,EN,salient,art,text,ridge,holdout_entities,spearman,year,tfidf,0.3179,ridge
entity,EN,salient,art,text,ridge,holdout_entities,r2,year,tfidf,0.1159,ridge
entity,EN,salient,headline,text,ridge,holdout_entities,spearman,year,tfidf,0.6755,ridge
entity,EN,salient,headline,text,ridge,holdout_entities,r2,year,tfidf,0.4477,ridge
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.165,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.3113,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.2177,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_70b,0.3525,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.1545,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.2481,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.1227,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,gpt_oss_120b,0.345,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.1185,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.2454,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.2568,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_13b,0.3592,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.119,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.2477,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.2756,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_32b,0.381,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.1357,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.224,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.2441,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,llama2_7b,0.3452,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.1553,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.2859,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.2503,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_8b,0.3831,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_1b7,0.2214,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_1b7,0.2368,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,qwen3_1b7,0.1968,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,qwen3_1b7,0.2978,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_cunei400m,0.1872,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_cunei400m,0.3493,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_cunei400m,0.2556,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_cunei400m,0.3309,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.1726,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.292,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.2149,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,thalesian_akk300m,0.4219,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.0517,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.2003,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.102,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,umt5_base,0.3511,pls
fragment,AKK,obscure,maximal,last,ridge,ruler_MC_r8_group,spearman,year,random,0.2343,pls
fragment,AKK,obscure,maximal,mean,ridge,ruler_MC_r8_group,spearman,year,random,0.2801,pls
fragment,EN,obscure,tier0,last,ridge,ruler_MC_r8_group,spearman,year,random,0.229,pls
fragment,EN,obscure,tier0,mean,ridge,ruler_MC_r8_group,spearman,year,random,0.2549,pls
