regime,model,cleaning,pool,layer,year_transform,spearman_mean,spearman_std,r2_mean,r2_std,mae_mean,mae_std,mase_mean,mdape_mean,shuffled_spearman_mean,shuffled_r2_mean,n_valid_folds_or_draws
imbalanced,thalesian_cunei400m,tier0,mean,0,raw,0.30926586795616495,0.15871725052000996,0.055296701774514144,0.04494353514021276,85.69302093021086,8.995893605047826,1.5717977738587392,7.599163428268297,-0.0009221360059439784,-0.036672472104014586,3
imbalanced,thalesian_cunei400m,tier0,mean,0,log,0.18575123223912204,0.11607462925584143,-0.29350935060204086,0.2334332996512759,101.29156413757005,12.890247856750943,1.8588567941630216,9.67438600876091,-0.007445427090555929,-0.07164280871418027,3
imbalanced,thalesian_cunei400m,tier0,mean,1,raw,0.24413048644084034,0.2352739234216032,0.0062235657644692894,0.020857547534222014,87.59067587924,11.488958230821648,1.6092159138931879,8.225708479142556,-0.004964533740023247,-0.024069952969819102,3
imbalanced,thalesian_cunei400m,tier0,mean,1,log,0.07707056796112671,0.11628588844580762,-0.0714196776808876,0.037658134264909764,93.69169827006108,4.190365059954073,1.7115680276250185,9.397777084924435,-0.010074479645260296,-0.048140968699077545,3
imbalanced,thalesian_cunei400m,tier0,mean,2,raw,0.2725639966401716,0.2656620978443144,0.0028999116188838845,0.018636449468696407,87.73775155322323,11.88016735856694,1.6123426255681672,8.419811876875848,-0.0053571061443009145,-0.022894242348414712,3
imbalanced,thalesian_cunei400m,tier0,mean,2,log,0.06476322676299329,0.11621414278000461,-0.0648003955538153,0.029742122356171935,94.37001117614324,4.007123867434566,1.723956783027125,9.589711538048805,-0.00948957650319519,-0.04562928047135525,3
imbalanced,thalesian_cunei400m,tier0,mean,3,raw,0.31618482956191235,0.28529535081044183,0.004149365936131207,0.019464981275670146,87.53296354704361,11.947932642300739,1.6086869314243781,8.442875826457337,-0.0031844487982241876,-0.022670311103773304,3
imbalanced,thalesian_cunei400m,tier0,mean,3,log,0.08187703641118128,0.12038410373710115,-0.06004408568307129,0.026552549775504686,94.20946712364743,3.9005019415336823,1.7209403192770731,9.578331673284557,-0.006937459012846102,-0.04517589062364243,3
imbalanced,thalesian_cunei400m,tier0,mean,4,raw,0.35394804217134607,0.3143240700912057,0.0039130863269930165,0.021349279905121792,87.46301313102958,12.00872924917206,1.6074770642533667,8.541372605826341,-0.009452859390403615,-0.02273870741651507,3
imbalanced,thalesian_cunei400m,tier0,mean,4,log,0.08854294258861384,0.11453564699934034,-0.06043160135204495,0.025665799254729404,94.24380444725307,4.065997285034508,1.721699490342533,9.531835255337109,-0.004213922994862472,-0.044624259542783117,3
imbalanced,thalesian_cunei400m,tier0,mean,5,raw,0.382060177893937,0.3262845115557073,0.005906757661380269,0.02376515039034785,87.26178258448398,11.851483493014891,1.603613161483299,8.545673669244428,-0.011153160151653957,-0.022652832296902698,3
imbalanced,thalesian_cunei400m,tier0,mean,5,log,0.10432956903902019,0.1107434047867866,-0.06287799288178242,0.025937737105913163,94.0723549921961,4.092509758602551,1.718584762623858,9.542500287389604,-0.0021279710993791314,-0.04474432144891597,3
imbalanced,thalesian_cunei400m,tier0,mean,6,raw,0.41336093218283737,0.33642722529672464,0.00874276120326034,0.026619843501495717,87.07769532231136,11.598372037240523,1.5999340464317402,8.606073454817027,-0.014099208322259813,-0.023018537208438012,3
imbalanced,thalesian_cunei400m,tier0,mean,6,log,0.13443996235317515,0.10713586987635036,-0.06217397896617638,0.02605106818054252,93.7242294559705,3.616708140544378,1.7117903398196663,9.517577801580083,-0.00821837839252418,-0.04534887509558808,3
imbalanced,thalesian_cunei400m,tier0,mean,7,raw,0.4408709851950648,0.3442938311346952,0.012722645761526338,0.03193386453291017,86.61353873098419,11.297789382220763,1.5910910658570234,8.583062932152018,-0.020970300621035696,-0.023341407207785696,3
imbalanced,thalesian_cunei400m,tier0,mean,7,log,0.1547661014743678,0.09938090463845296,-0.06481892531727729,0.024948431147860037,93.2314802096529,3.5039233539890433,1.7027314250986316,9.405792366713152,-0.0008705954824140272,-0.04555257240981939,3
imbalanced,thalesian_cunei400m,tier0,mean,8,raw,0.4526397906212953,0.3359143280590756,0.018204031320030827,0.037910004192774974,85.9435083129875,10.950760255105397,1.578443226102748,8.45918667700814,-0.012775139151866191,-0.023700255263661745,3
imbalanced,thalesian_cunei400m,tier0,mean,8,log,0.1864556541305397,0.08995117251373698,-0.06687288939213554,0.023640131938023987,92.48255692025653,3.697334755781761,1.6893150790538793,9.43850105416559,0.013814168902128832,-0.045825080370613204,3
imbalanced,thalesian_cunei400m,tier0,mean,9,raw,0.45967923960453366,0.33226286611585537,0.024348073826786387,0.043063365655522,85.53094050413023,10.628939391179266,1.5704944082633236,8.310614017093847,-0.011792604639170872,-0.02390957392034158,3
imbalanced,thalesian_cunei400m,tier0,mean,9,log,0.19366814582622174,0.08967117307620737,-0.07185456081895565,0.027699598861640376,92.26209196369909,3.855303960205471,1.6853897918473617,9.36018225865102,0.015701436957197643,-0.04669745916578438,3
