cleaning,condition,year_spearman_mean,year_spearman_std,year_mae_mean,year_mae_std,ruler_macro_f1_mean,ruler_macro_f1_std,n_draws
tier0,unmasked,0.35450904379638826,0.06863436558703205,43.91832364036924,1.4666827877219164,0.6496411099317347,0.03684237840752215,200
tier0,masked,0.4002020843607133,0.06218555892093638,42.919251583038815,1.4677009890861277,0.5272983454045953,0.04062361509310703,200
maximal,unmasked,0.2660405966003774,0.07832611432369926,47.53485107664078,1.3796488628895285,0.49799929150441913,0.04027946508936684,200
maximal,masked,0.26758903988275157,0.08627234016765215,47.27446695721339,1.5502866901698036,0.46326168941782325,0.03929296371266881,200
