regime,method,cleaning,pool,layer,pacc_full,pacc_loro_mean,drop,n_rulers,pacc_full_std,pacc_loro_mean_std,drop_std,n_draws
imbalanced,qwen3_1b7,tier0,mean,1,0.7232966838874906,0.6961598365426687,0.027136847344821913,11,,,,
imbalanced,thalesian_cunei400m,maximal,mean,7,0.6805757937033603,0.6255419140403906,0.05503387966296969,11,,,,
imbalanced,thalesian_cunei400m,tier0,mean,6,0.6453282995540248,0.6165536675537999,0.028774632000224898,11,,,,
balanced,qwen3_1b7,tier0,mean,1,0.698798185941043,0.6952691169060217,0.0035290690350214173,,0.09562679516995681,0.07231684073061166,0.0458409612641434,200
balanced,thalesian_cunei400m,maximal,mean,7,0.7378483245149912,0.7351577853363568,0.002690539178634417,,0.1209395732331773,0.08197884484170555,0.07764785786397062,200
balanced,thalesian_cunei400m,tier0,mean,6,0.61663139329806,0.6388218065003779,-0.022190413202317964,,0.10562220150141251,0.07396569233130816,0.06892311424694586,200
