model,variant,pool,layer,task,headline_metric,headline_value,std,n_labeled,extra
qwen3_32b,pv0,last,L16,year,spearman_mean_year_raw,0.3323606487351541,0.03878752534423746,40,k=5 r2=0.05468174355950506 mae=87.2338282436856
qwen3_32b,pv0,last,L32,ruler,macro_f1_mean,0.08764514884549074,0.00710884339144727,1150,accuracy=0.351304347826087 chance=0.058823529411764705 weighted_f1=0.2784500427282986
qwen3_32b,pv0,last,L32,year,spearman_mean_year_raw,0.4307244312284276,0.07755948584142949,40,k=5 r2=0.10185849331942505 mae=82.36738272607107
qwen3_32b,pv0,last,L48,ruler,macro_f1_mean,0.08646797461364283,0.004923003585952057,1150,accuracy=0.3521739130434783 chance=0.058823529411764705 weighted_f1=0.2773881560443424
qwen3_32b,pv0,last,L48,year,spearman_mean_year_raw,0.26790739909072564,0.055183017291821214,40,k=2 r2=0.07477682504566545 mae=84.62036867162938
qwen3_32b,pv0,last,L63,ruler,macro_f1_mean,0.060716878682887665,0.005404738482010479,1150,accuracy=0.29826086956521736 chance=0.058823529411764705 weighted_f1=0.20621138670792344
qwen3_32b,pv0,last,L63,year,spearman_mean_year_raw,0.3468473240949359,0.04745889571216865,40,k=5 r2=0.059198733018216654 mae=86.15848993914305
qwen3_32b,pv0,mean,L00,ruler,macro_f1_mean,0.13278351471365207,0.0031599658585455504,1150,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426
qwen3_32b,pv0,mean,L00,year,spearman_mean_year_raw,0.35936387635195827,0.11167833120685201,40,k=3 r2=0.08294405202660167 mae=85.72513269238652
qwen3_32b,pv0,mean,L16,ruler,macro_f1_mean,0.07824797065383955,0.005581284655255763,1150,accuracy=0.3495652173913043 chance=0.058823529411764705 weighted_f1=0.25780903088355145
qwen3_32b,pv0,mean,L16,year,spearman_mean_year_raw,0.4395444472938821,0.21527362214873297,40,k=3 r2=0.13466574765082404 mae=81.26661333217389
qwen3_32b,pv0,mean,L32,ruler,macro_f1_mean,0.09419348176362394,0.006847260012408906,1150,accuracy=0.3652173913043478 chance=0.058823529411764705 weighted_f1=0.297491318313391
qwen3_32b,pv0,mean,L32,year,spearman_mean_year_raw,0.398302836467705,0.1698732227290696,40,k=3 r2=0.10532806908081038 mae=81.48888310552688
qwen3_32b,pv0,mean,L48,ruler,macro_f1_mean,0.08784453648662513,0.003115980901504386,1150,accuracy=0.3608695652173913 chance=0.058823529411764705 weighted_f1=0.2825960764005111
qwen3_32b,pv0,mean,L48,year,spearman_mean_year_raw,0.4525745251675372,0.18771681910794508,40,k=3 r2=0.166970800947831 mae=78.14891772987086
qwen3_32b,pv0,mean,L63,ruler,macro_f1_mean,0.08369223980173761,0.003703818065678737,1150,accuracy=0.36 chance=0.058823529411764705 weighted_f1=0.2748479471993773
qwen3_32b,pv0,mean,L63,year,spearman_mean_year_raw,0.3877193443895591,0.21697068798157054,40,k=3 r2=0.11120214432081969 mae=80.98959267109295
qwen3_32b,pv1,last,L00,ruler,macro_f1_mean,0.022234843272898663,0.00016493383438778237,1150,accuracy=0.23304347826086955 chance=0.058823529411764705 weighted_f1=0.08809462088246175
qwen3_32b,pv1,last,L00,year,spearman_mean_year_raw,,,40,k=1 r2=nan mae=nan
qwen3_32b,pv1,last,L16,ruler,macro_f1_mean,0.06697427140981033,0.005667541615898621,1150,accuracy=0.3139130434782608 chance=0.058823529411764705 weighted_f1=0.22389080064788863
qwen3_32b,pv1,last,L16,year,spearman_mean_year_raw,0.31508719666090007,0.046854559241879486,40,k=5 r2=0.06691250901087675 mae=88.98582059846977
qwen3_32b,pv1,last,L32,ruler,macro_f1_mean,0.07622391255732533,0.006982219124143095,1150,accuracy=0.32608695652173914 chance=0.058823529411764705 weighted_f1=0.24746065225481867
qwen3_32b,pv1,last,L32,year,spearman_mean_year_raw,0.37346705337335107,0.0982636496511022,40,k=5 r2=0.1281278840590163 mae=84.85346974372409
qwen3_32b,pv1,last,L48,ruler,macro_f1_mean,0.08828707820548659,0.006391110080604559,1150,accuracy=0.35391304347826086 chance=0.058823529411764705 weighted_f1=0.28140558839979474
qwen3_32b,pv1,last,L48,year,spearman_mean_year_raw,0.322923817019812,0.060303834112203344,40,k=5 r2=0.05362637233359598 mae=86.35699739495719
qwen3_32b,pv1,last,L63,ruler,macro_f1_mean,0.06507778343210133,0.007494310474795062,1150,accuracy=0.3095652173913044 chance=0.058823529411764705 weighted_f1=0.21817733819581728
qwen3_32b,pv1,last,L63,year,spearman_mean_year_raw,0.32354058639807887,0.1209346791810439,40,k=3 r2=0.08204568449836735 mae=84.08537054090276
qwen3_32b,pv1,mean,L00,ruler,macro_f1_mean,0.13278351471365207,0.0031599658585455504,1150,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426
qwen3_32b,pv1,mean,L00,year,spearman_mean_year_raw,0.35936387635195827,0.11167833120685201,40,k=3 r2=0.08294405202660167 mae=85.72513269238652
qwen3_32b,pv1,mean,L16,ruler,macro_f1_mean,0.06759205245499865,0.003766054119277658,1150,accuracy=0.3330434782608696 chance=0.058823529411764705 weighted_f1=0.23045792856143588
qwen3_32b,pv1,mean,L16,year,spearman_mean_year_raw,0.4456024059688064,0.24004731126367101,40,k=2 r2=0.15528407644160636 mae=79.72464784815223
qwen3_32b,pv1,mean,L32,ruler,macro_f1_mean,0.08103482005482004,0.00315685819181105,1150,accuracy=0.33652173913043476 chance=0.058823529411764705 weighted_f1=0.2617728407098002
qwen3_32b,pv1,mean,L32,year,spearman_mean_year_raw,0.4390382232048014,0.22452107915224026,40,k=2 r2=0.14175702703519488 mae=79.4359147545979
qwen3_32b,pv1,mean,L48,ruler,macro_f1_mean,0.08388223639584334,0.004954024345073604,1150,accuracy=0.3495652173913043 chance=0.058823529411764705 weighted_f1=0.2714073695412271
qwen3_32b,pv1,mean,L48,year,spearman_mean_year_raw,0.42594124047747844,0.22778548510455035,40,k=3 r2=0.11556148174327852 mae=81.10181217343316
qwen3_32b,pv1,mean,L63,ruler,macro_f1_mean,0.08093394186143758,0.0027747629779579105,1150,accuracy=0.3573913043478261 chance=0.058823529411764705 weighted_f1=0.2678754989374559
qwen3_32b,pv1,mean,L63,year,spearman_mean_year_raw,0.4313793693765646,0.2424782551951221,40,k=2 r2=0.10779703046977014 mae=78.91668754709225
qwen3_32b,pv2,last,L00,ruler,macro_f1_mean,0.022234843272898663,0.00016493383438778237,1150,accuracy=0.23304347826086955 chance=0.058823529411764705 weighted_f1=0.08809462088246175
qwen3_32b,pv2,last,L00,year,spearman_mean_year_raw,,,40,k=1 r2=nan mae=nan
qwen3_32b,pv2,last,L16,ruler,macro_f1_mean,0.07467625505421069,0.006981890453939415,1150,accuracy=0.32608695652173914 chance=0.058823529411764705 weighted_f1=0.2450540473510388
qwen3_32b,pv2,last,L16,year,spearman_mean_year_raw,0.3145237999319015,0.02245142068468676,40,k=5 r2=-0.013867804919709958 mae=92.1506336998724
qwen3_32b,pv2,last,L32,ruler,macro_f1_mean,0.07958926711507995,0.006026200402016428,1150,accuracy=0.331304347826087 chance=0.058823529411764705 weighted_f1=0.25636000454864033
qwen3_32b,pv2,last,L32,year,spearman_mean_year_raw,0.3882461610259355,0.09562332510053015,40,k=5 r2=0.08926722830036997 mae=84.02226026498535
qwen3_32b,pv2,last,L48,ruler,macro_f1_mean,0.09013320845894404,0.004166377798409803,1150,accuracy=0.35739130434782607 chance=0.058823529411764705 weighted_f1=0.287234835454553
qwen3_32b,pv2,last,L48,year,spearman_mean_year_raw,0.31993208644725185,0.031862241451049524,40,k=5 r2=0.014120271670590009 mae=87.3939345806452
qwen3_32b,pv2,last,L63,ruler,macro_f1_mean,0.06154773754091154,0.0071676875226617184,1150,accuracy=0.3034782608695652 chance=0.058823529411764705 weighted_f1=0.20944937535223884
qwen3_32b,pv2,last,L63,year,spearman_mean_year_raw,0.4622131743703612,0.16510204488493632,40,k=2 r2=0.08660852645967543 mae=78.79965723693356
qwen3_32b,pv2,mean,L00,ruler,macro_f1_mean,0.13278351471365207,0.0031599658585455504,1150,accuracy=0.43999999999999995 chance=0.058823529411764705 weighted_f1=0.37508687736393426
qwen3_32b,pv2,mean,L00,year,spearman_mean_year_raw,0.35936387635195827,0.11167833120685201,40,k=3 r2=0.08294405202660167 mae=85.72513269238652
qwen3_32b,pv2,mean,L16,ruler,macro_f1_mean,0.06674233100610191,0.003021858929845935,1150,accuracy=0.3356521739130435 chance=0.058823529411764705 weighted_f1=0.22983575819896407
qwen3_32b,pv2,mean,L16,year,spearman_mean_year_raw,0.4498520355335045,0.22639692325992058,40,k=2 r2=0.14313926599691282 mae=80.78281870424233
qwen3_32b,pv2,mean,L32,ruler,macro_f1_mean,0.0830821591133318,0.0036959533756688407,1150,accuracy=0.34782608695652173 chance=0.058823529411764705 weighted_f1=0.2699592225279376
qwen3_32b,pv2,mean,L32,year,spearman_mean_year_raw,0.45225509085130616,0.18712066206362152,40,k=3 r2=0.14210931900881574 mae=79.63032485648954
qwen3_32b,pv2,mean,L48,ruler,macro_f1_mean,0.10271523988805595,0.008335359400746003,1150,accuracy=0.3695652173913043 chance=0.058823529411764705 weighted_f1=0.30361087781385976
qwen3_32b,pv2,mean,L48,year,spearman_mean_year_raw,0.4114475375790427,0.23369592773986717,40,k=2 r2=0.07590870701899362 mae=82.82562100114474
qwen3_32b,pv2,mean,L63,ruler,macro_f1_mean,0.0735211104976456,0.004619112949129439,1150,accuracy=0.34521739130434786 chance=0.058823529411764705 weighted_f1=0.2507228094555331
qwen3_32b,pv2,mean,L63,year,spearman_mean_year_raw,0.40188853387333134,0.2146176400817905,40,k=3 r2=0.10619980974352228 mae=80.30613895422266
qwen3_32b,pv3,last,L00,ruler,macro_f1_mean,0.022234843272898663,0.00016493383438778237,1150,accuracy=0.23304347826086955 chance=0.058823529411764705 weighted_f1=0.08809462088246175
qwen3_32b,pv3,last,L00,year,spearman_mean_year_raw,,,40,k=1 r2=nan mae=nan
qwen3_32b,pv3,last,L16,ruler,macro_f1_mean,0.0651670769121869,0.005072723669084034,1150,accuracy=0.31130434782608696 chance=0.058823529411764705 weighted_f1=0.21911970398855285
