model,n_draws,fixed_k3,best_k_per_draw,ridge,selection_gap
mlm,200,0.3824597401910678,0.4346093219405074,0.4078930721767133,0.052149581749439566
thalesian_cunei400m,200,0.3763278457748333,0.4243945665920063,0.383773901697019,0.048066720817173
qwen3_32b,200,0.37539153369988404,0.39942419270499824,0.3264177181182755,0.0240326590051142
tfidf,200,0.37617038271132924,0.4147055056717358,0.355,0.038535122960406565
