entity_type,name,query,count,approx,index_used,target,century,short_name,error,abs_err,true,logc
historical_figure,Hanns Braun,Hanns Braun,159,0,v4_olmo-mix-1124_llama,1918.0,1900,0,,71.12470921368049,1918.0,2.2041199826559246
historical_figure,Georg Wissowa,Georg Wissowa,2037,0,v4_olmo-mix-1124_llama,1931.0,1900,0,,365.2031471504222,1931.0,3.3092041796704077
historical_figure,Robert Lehr,Robert Lehr,3275,0,v4_olmo-mix-1124_llama,1956.0,1900,0,,81.57465721958692,1956.0,3.5153438930883807
historical_figure,Wilhelm Bousset,Wilhelm Bousset,2140,0,v4_olmo-mix-1124_llama,1920.0,1900,0,,209.4679727032294,1920.0,3.3306166672944384
historical_figure,Theodor von Sickel,Theodor von Sickel,174,0,v4_olmo-mix-1124_llama,1908.0,1900,0,,218.8769814917066,1908.0,2.2430380486862944
historical_figure,Gustav Otto,Gustav Otto,2567,0,v4_olmo-mix-1124_llama,1926.0,1900,0,,52.5629735056541,1926.0,3.4095950193968156
historical_figure,Sophie Menter,Sophie Menter,625,0,v4_olmo-mix-1124_llama,1918.0,1900,0,,88.328710674062,1918.0,2.7965743332104296
historical_figure,Hermann Graedener,Hermann Graedener,131,0,v4_olmo-mix-1124_llama,1929.0,1900,0,,168.7176657934756,1929.0,2.12057393120585
historical_figure,Jan Mikulicz-Radecki,Jan Mikulicz-Radecki,636,0,v4_olmo-mix-1124_llama,1905.0,1900,0,,112.61570844679136,1905.0,2.8041394323353503
historical_figure,Walther Reinhardt,Walther Reinhardt,416,0,v4_olmo-mix-1124_llama,1930.0,1900,0,,106.3052189594332,1930.0,2.6201360549737576
historical_figure,Rudolf Havenstein,Rudolf Havenstein,2880,0,v4_olmo-mix-1124_llama,1923.0,1900,0,,111.90963063547042,1923.0,3.459543258280413
historical_figure,Duchess Helene of Mecklenburg-Strelitz,Duchess Helene of Mecklenburg-Strelitz,8,0,v4_olmo-mix-1124_llama,1936.0,1900,0,,79.853676201584,1936.0,0.9542425094393249
historical_figure,Albert Bernhard Frank,Albert Bernhard Frank,1362,0,v4_olmo-mix-1124_llama,1900.0,1900,0,,24.46738428170761,1900.0,3.1344958558346736
historical_figure,August von Trott zu Solz,August von Trott zu Solz,124,0,v4_olmo-mix-1124_llama,1938.0,1900,0,,168.9120896312961,1938.0,2.0969100130080562
historical_figure,Hans Fruhstorfer,Hans Fruhstorfer,82,0,v4_olmo-mix-1124_llama,1922.0,1900,0,,99.37730222998152,1922.0,1.919078092376074
historical_figure,Princess Marie of Battenberg,Princess Marie of Battenberg,81,0,v4_olmo-mix-1124_llama,1923.0,1900,0,,135.0561640436806,1923.0,1.9138138523837167
historical_figure,Georg Kuphaldt,Georg Kuphaldt,73,0,v4_olmo-mix-1124_llama,1938.0,1900,0,,364.40164725760724,1938.0,1.8692317197309762
historical_figure,Heinrich Julius Holtzmann,Heinrich Julius Holtzmann,527,0,v4_olmo-mix-1124_llama,1910.0,1900,0,,109.82999819866541,1910.0,2.722633922533812
historical_figure,Bernhard Cossmann,Bernhard Cossmann,189,0,v4_olmo-mix-1124_llama,1910.0,1900,0,,218.0324909253277,1910.0,2.278753600952829
historical_figure,Paul Bonatz,Paul Bonatz,563,0,v4_olmo-mix-1124_llama,1956.0,1900,0,,108.8562801857181,1956.0,2.751279103983342
historical_figure,Friedrich Goltz,Friedrich Goltz,1549,0,v4_olmo-mix-1124_llama,1902.0,1900,0,,49.630324340735115,1902.0,3.1903316981702914
historical_figure,Albert von Schrenck-Notzing,Albert von Schrenck-Notzing,1836,0,v4_olmo-mix-1124_llama,1929.0,1900,0,,89.82821846846309,1929.0,3.2641091563058082
historical_figure,Karl Heinrich von Boetticher,Karl Heinrich von Boetticher,23,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,140.9888580931961,1907.0,1.380211241711606
historical_figure,Wilhelm von Bezold,Wilhelm von Bezold,1025,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,215.9197102883263,1907.0,3.0111473607757975
historical_figure,Johannes Thienemann,Johannes Thienemann,253,0,v4_olmo-mix-1124_llama,1938.0,1900,0,,254.1292090417337,1938.0,2.404833716619938
historical_figure,Edward Dannreuther,Edward Dannreuther,743,0,v4_olmo-mix-1124_llama,1905.0,1900,0,,211.63819101840727,1905.0,2.8715729355458786
historical_figure,Eduard Friedrich Wilhelm Pflüger,Eduard Friedrich Wilhelm Pflüger,93,0,v4_olmo-mix-1124_llama,1910.0,1900,0,,18.6895030684384,1910.0,1.9731278535996986
historical_figure,Hermann Anschütz-Kaempfe,Hermann Anschütz-Kaempfe,659,0,v4_olmo-mix-1124_llama,1931.0,1900,0,,101.7769188774655,1931.0,2.8195439355418688
historical_figure,Johannes Vahlen,Johannes Vahlen,92,0,v4_olmo-mix-1124_llama,1911.0,1900,0,,453.36736769941945,1911.0,1.968482948553935
historical_figure,Heinrich Albers-Schönberg,Heinrich Albers-Schönberg,46,0,v4_olmo-mix-1124_llama,1921.0,1900,0,,193.57241668645474,1921.0,1.6720978579357175
historical_figure,Hermann Ende,Hermann Ende,251,0,v4_olmo-mix-1124_llama,1907.0,1900,0,,57.1293168053553,1907.0,2.401400540781544
historical_figure,Julius Neubronner,Julius Neubronner,3631,0,v4_olmo-mix-1124_llama,1932.0,1900,0,,96.07284448437917,1932.0,3.5601458398490475
historical_figure,Heinrich Dressel,Heinrich Dressel,2028,0,v4_olmo-mix-1124_llama,1920.0,1900,0,,73.96394936651404,1920.0,3.307282047033346
historical_figure,Oscar Hertwig,Oscar Hertwig,5189,0,v4_olmo-mix-1124_llama,1922.0,1900,0,,40.70999757697109,1922.0,3.7151673578484576
historical_figure,Friedrich Kluge,Friedrich Kluge,1674,0,v4_olmo-mix-1124_llama,1926.0,1900,0,,35.32429147694211,1926.0,3.224014811372864
