entity_type,name,query,count,approx,index_used,target,century,short_name,error,abs_err,true,logc
historical_figure,Louis IV of Legnica,Louis IV of Legnica,10,0,v4_olmo-mix-1124_llama,1663.0,1600,0,,522.1158962673878,1663.0,1.0413926851582251
historical_figure,Adrianus Valerius,Adrianus Valerius,498,0,v4_olmo-mix-1124_llama,1625.0,1600,0,,352.2705107172849,1625.0,2.6981005456233897
historical_figure,Charles Racquet,Charles Racquet,129,0,v4_olmo-mix-1124_llama,1664.0,1600,0,,222.06964392282907,1664.0,2.113943352306837
historical_figure,Antoine Le Grand,Antoine Le Grand,606,0,v4_olmo-mix-1124_llama,1699.0,1600,0,,122.67538238665088,1699.0,2.7831886910752575
historical_figure,"Maurice, Duke of Saxe-Lauenburg","Maurice, Duke of Saxe-Lauenburg",1,0,v4_olmo-mix-1124_llama,1612.0,1600,0,,95.46095695517351,1612.0,0.3010299956639812
historical_figure,"Elizabeth of Hesse-Kassel, Duchess of Mecklenburg","Elizabeth of Hesse-Kassel, Duchess of Mecklenburg",1,0,v4_olmo-mix-1124_llama,1625.0,1600,0,,93.4777823835102,1625.0,0.3010299956639812
historical_figure,Abraham Battus,Abraham Battus,15,0,v4_olmo-mix-1124_llama,1674.0,1600,0,,323.7263945142556,1674.0,1.2041199826559248
historical_figure,Abraham Janssens I,Abraham Janssens I,20,0,v4_olmo-mix-1124_llama,1632.0,1600,0,,43.04441919973078,1632.0,1.3222192947339193
historical_figure,David Blondel,David Blondel,1079,0,v4_olmo-mix-1124_llama,1655.0,1600,0,,48.19441498522633,1655.0,3.03342375548695
historical_figure,Christoph Grienberger,Christoph Grienberger,1534,0,v4_olmo-mix-1124_llama,1636.0,1600,0,,170.99193678919983,1636.0,3.1861083798132053
historical_figure,"Elizabeth Cary, Lady Falkland","Elizabeth Cary, Lady Falkland",23,0,v4_olmo-mix-1124_llama,1639.0,1600,0,,136.77989774371417,1639.0,1.380211241711606
historical_figure,"Charles Colbert, marquis de Croissy","Charles Colbert, marquis de Croissy",10,0,v4_olmo-mix-1124_llama,1696.0,1600,0,,58.62580342798083,1696.0,1.0413926851582251
historical_figure,"Anthony Cary, 5th Viscount of Falkland","Anthony Cary, 5th Viscount of Falkland",375,0,v4_olmo-mix-1124_llama,1694.0,1600,0,,131.0989282575631,1694.0,2.575187844927661
historical_figure,Jean Chapelain,Jean Chapelain,1662,0,v4_olmo-mix-1124_llama,1674.0,1600,0,,82.00213739994638,1674.0,3.2208922492195193
historical_figure,Henry Briggs,Henry Briggs,11678,0,v4_olmo-mix-1124_llama,1630.0,1600,0,,22.412766737382753,1630.0,4.067405658437824
historical_figure,"William Herbert, 3rd Earl of Pembroke","William Herbert, 3rd Earl of Pembroke",1073,0,v4_olmo-mix-1124_llama,1630.0,1600,0,,288.34959946936783,1630.0,3.0310042813635367
historical_figure,"James Hamilton, 2nd Marquess of Hamilton","James Hamilton, 2nd Marquess of Hamilton",202,0,v4_olmo-mix-1124_llama,1625.0,1600,0,,191.3700770588075,1625.0,2.307496037913213
historical_figure,"William Hamilton, 2nd Duke of Hamilton","William Hamilton, 2nd Duke of Hamilton",32,0,v4_olmo-mix-1124_llama,1651.0,1600,0,,50.43373265921764,1651.0,1.5185139398778875
historical_figure,Thomas Dekker,Thomas Dekker,59771,0,v4_olmo-mix-1124_llama,1632.0,1600,0,,206.612626256235,1632.0,4.776497787780008
historical_figure,"William Seymour, 2nd Duke of Somerset","William Seymour, 2nd Duke of Somerset",268,0,v4_olmo-mix-1124_llama,1660.0,1600,0,,136.10319647639062,1660.0,2.429752280002408
historical_figure,Alexandre de Rhodes,Alexandre de Rhodes,8419,0,v4_olmo-mix-1124_llama,1660.0,1600,0,,354.6855627873749,1660.0,3.9253120914996495
historical_figure,Domenico Fontana,Domenico Fontana,12057,0,v4_olmo-mix-1124_llama,1607.0,1600,0,,362.11918055601313,1607.0,4.081275279529334
historical_figure,"Henry Howard, 22nd Earl of Arundel","Henry Howard, 22nd Earl of Arundel",22,0,v4_olmo-mix-1124_llama,1652.0,1600,0,,109.03459294651202,1652.0,1.3617278360175928
historical_figure,"Charles Howard, 1st Earl of Carlisle","Charles Howard, 1st Earl of Carlisle",96,0,v4_olmo-mix-1124_llama,1685.0,1600,0,,123.85745297170115,1685.0,1.9867717342662448
historical_figure,"Frederick, Burgrave of Dohna","Frederick, Burgrave of Dohna",3,0,v4_olmo-mix-1124_llama,1688.0,1600,0,,72.78989257828994,1688.0,0.6020599913279624
historical_figure,Anders Bording,Anders Bording,200,0,v4_olmo-mix-1124_llama,1677.0,1600,0,,406.700359985914,1677.0,2.303196057420489
historical_figure,Uriel da Costa,Uriel da Costa,3711,0,v4_olmo-mix-1124_llama,1640.0,1600,0,,214.04898440665784,1640.0,3.5696079675468244
historical_figure,Martin Fréminet,Martin Fréminet,302,0,v4_olmo-mix-1124_llama,1619.0,1600,0,,29.849450289426613,1619.0,2.481442628502305
historical_figure,Giovanni Bernardo Carboni,Giovanni Bernardo Carboni,4,0,v4_olmo-mix-1124_llama,1683.0,1600,0,,95.48150769879567,1683.0,0.6989700043360189
historical_figure,Adam Bartholomäus,Adam Bartholomäus,0,0,v4_olmo-mix-1124_llama,1600.0,1600,0,,240.3126124831938,1600.0,0.0
historical_figure,Adam Freytag,Adam Freytag,11,0,v4_olmo-mix-1124_llama,1650.0,1600,0,,125.035388133776,1650.0,1.0791812460476249
historical_figure,Adam Haresleben,Adam Haresleben,2,0,v4_olmo-mix-1124_llama,1683.0,1600,0,,55.719636724694965,1683.0,0.47712125471966244
historical_figure,Hendrik van den Bergh,Hendrik van den Bergh,1226,0,v4_olmo-mix-1124_llama,1638.0,1600,0,,38.50036377616311,1638.0,3.088844562727004
historical_figure,Antonio Cesti,Antonio Cesti,2529,0,v4_olmo-mix-1124_llama,1669.0,1600,0,,120.71711492772306,1669.0,3.403120521175818
historical_figure,Adam Tribbechow,Adam Tribbechow,4,0,v4_olmo-mix-1124_llama,1687.0,1600,0,,3.217330668613158,1687.0,0.6989700043360189
