method,variant,n_pairs,n_ruler_pairs,macro_acc,micro_acc,order_consistency,macro_acc_consistent_only,yes_rate
qwen3_1b7,akk_maximal,1431,777,0.5,0.5,0.0,,0.0
qwen3_32b,akk_maximal,1431,777,0.4991419991419992,0.49930118798043327,0.0041928721174004195,0.3333333333333333,0.0020964360587002098
qwen3_8b,akk_maximal,1431,777,0.46707421707421704,0.469601677148847,0.5192173305380853,0.44933078393881454,0.38259958071278827
qwen3_1b7,eng_tier0,1431,777,0.5,0.5,0.0,,0.0
qwen3_32b,eng_tier0,1431,777,0.4864864864864865,0.48846960167714887,0.08315863032844165,0.37962962962962965,0.04647099930118798
qwen3_8b,eng_tier0,1431,777,0.45055770055770056,0.45772187281621246,0.5373864430468204,0.4090909090909091,0.36862334032145355
