model,k,spearman_mean,spearman_std,ridge_baseline
tfidf,1,0.2609073053454691,0.09512195166052152,0.2660406210459062
tfidf,2,0.2660951363158228,0.10731258527920946,0.2660406210459062
tfidf,3,0.24829816638970403,0.11236142390254597,0.2660406210459062
tfidf,5,0.24655494637287262,0.10941390765969425,0.2660406210459062
tfidf,8,0.23452179290718306,0.10688987608007854,0.2660406210459062
tfidf,16,0.19638570173785586,0.11748353000771468,0.2660406210459062
tfidf,32,0.15971975914853304,0.10706645893937909,0.2660406210459062
tfidf,64,0.13417844943415172,0.09860386723956112,0.2660406210459062
mlm,1,0.2806908267400542,0.07128824700816482,0.28808991561211444
mlm,2,0.28635715579797794,0.07287417603289756,0.28808991561211444
mlm,3,0.274463030172046,0.08137936752465351,0.28808991561211444
mlm,5,0.21517370890259074,0.09983139240852142,0.28808991561211444
mlm,8,0.1829580525702528,0.10672260549276755,0.28808991561211444
mlm,16,0.17043785290528088,0.11602932541824021,0.28808991561211444
mlm,32,0.15121741380215561,0.120816992137107,0.28808991561211444
mlm,64,0.14711585519123885,0.12288894073591626,0.28808991561211444
thalesian_akk300m,1,0.26128225935429145,0.07754361374944609,0.307586295985593
thalesian_akk300m,2,0.28897615083406814,0.07541084767751931,0.307586295985593
thalesian_akk300m,3,0.299673544001176,0.07371584640144667,0.307586295985593
thalesian_akk300m,5,0.26988002852572984,0.08550172770908424,0.307586295985593
thalesian_akk300m,8,0.22865895590322524,0.0888109146909293,0.307586295985593
thalesian_akk300m,16,0.2071892453136826,0.08697171480703245,0.307586295985593
thalesian_akk300m,32,0.19155053282136691,0.09044355080807784,0.307586295985593
thalesian_akk300m,64,0.18995895279963004,0.09178072597976639,0.307586295985593
thalesian_cunei400m,1,0.3404447835599625,0.06232959192641889,0.36425375272071847
thalesian_cunei400m,2,0.35684267220458976,0.06468524309237336,0.36425375272071847
thalesian_cunei400m,3,0.39061443089199294,0.07159550361753252,0.36425375272071847
thalesian_cunei400m,5,0.3707618718623874,0.08745048407775967,0.36425375272071847
thalesian_cunei400m,8,0.338462443595728,0.09738722526957133,0.36425375272071847
thalesian_cunei400m,16,0.31382348393443776,0.10383392546711451,0.36425375272071847
thalesian_cunei400m,32,0.30886063892179083,0.10386098636611815,0.36425375272071847
thalesian_cunei400m,64,0.30915594929104867,0.10367623067302144,0.36425375272071847
qwen3_1b7,1,0.14377670302512452,0.07917716546230127,0.29823622351726287
qwen3_1b7,2,0.24367293218782485,0.08477459133005534,0.29823622351726287
qwen3_1b7,3,0.33444240703513883,0.0864860174588411,0.29823622351726287
qwen3_1b7,5,0.31514289784829574,0.09466627474866578,0.29823622351726287
qwen3_1b7,8,0.27715308167155256,0.10633172443775735,0.29823622351726287
qwen3_1b7,16,0.18688564121844578,0.10674132097539274,0.29823622351726287
qwen3_1b7,32,0.13879632303627581,0.10301184351650079,0.29823622351726287
qwen3_1b7,64,0.12637923778615634,0.10052574413576783,0.29823622351726287
qwen3_8b,1,0.1559700689195928,0.06663758797544722,0.28242458220189165
qwen3_8b,2,0.22815479504313424,0.08978922037399421,0.28242458220189165
qwen3_8b,3,0.33872304586368346,0.09177574052266349,0.28242458220189165
qwen3_8b,5,0.3271085358061323,0.0953179907235412,0.28242458220189165
qwen3_8b,8,0.3063981852546855,0.10179925428838058,0.28242458220189165
qwen3_8b,16,0.24897726855955338,0.10352665088914093,0.28242458220189165
qwen3_8b,32,0.20673068895669508,0.1116092370263672,0.28242458220189165
qwen3_8b,64,0.18017341950793514,0.11343080856289248,0.28242458220189165
qwen3_32b,1,0.3323462628490067,0.06991935197237265,0.3046848571886072
qwen3_32b,2,0.29269382285214524,0.0764180251031103,0.3046848571886072
qwen3_32b,3,0.22700068624038586,0.08598979513261364,0.3046848571886072
qwen3_32b,5,0.20137358936266125,0.10137729508183277,0.3046848571886072
qwen3_32b,8,0.2095589015354129,0.1026771677084711,0.3046848571886072
qwen3_32b,16,0.20227619429003035,0.10060992224063296,0.3046848571886072
qwen3_32b,32,0.19827884988367891,0.09991264674826422,0.3046848571886072
qwen3_32b,64,0.061731912969729824,0.15455164140833907,0.3046848571886072
random,1,0.2785045975486026,0.09231172791036617,0.2548523667906722
random,2,0.20192226626225143,0.11408523156481891,0.2548523667906722
random,3,0.2378650547325271,0.11377161294607716,0.2548523667906722
random,5,0.16325041828584233,0.11635672150056137,0.2548523667906722
random,8,0.16732523532578167,0.1165789278366701,0.2548523667906722
random,16,0.1643888597177548,0.11762021123040599,0.2548523667906722
random,32,0.16610036277985507,0.11760461456406629,0.2548523667906722
random,64,0.1664776590507332,0.117690796943401,0.2548523667906722
