model,macro_f1,macro_f1_std,source
tfidf,0.49799929150441913,0.04027946508936684,cls
mlm,,,
thalesian_akk300m,0.29335395234023875,0.03979846313239916,plsda
thalesian_cunei400m,0.44031564105077065,0.04198747055255415,cls
qwen3_1b7,0.2928113986692795,0.03552627123400178,cls
qwen3_8b,0.30337398751559347,0.03760350274434766,cls
qwen3_32b,0.3049162885148147,0.039728734021912994,cls
random,0.4147243091961358,0.03905301808372985,cls
