family,arm,cleaning,layer,spearman_mean,spearman_std
qwen3_1b7,base,maximal,14,0.3083342843425118,0.0780525242040362
qwen3_1b7,base,maximal,15,0.3027720686855367,0.0783700696087178
qwen3_1b7,base,maximal,16,0.2979999914163016,0.0802747042544428
qwen3_1b7,base,maximal,17,0.2933458852634349,0.0814645778723307
qwen3_1b7,base,maximal,18,0.2980880358716453,0.0827277296046288
qwen3_1b7,base,maximal,19,0.2843596225364058,0.0764675460284951
qwen3_1b7,base,maximal,20,0.2703339028526461,0.0732921442250798
qwen3_1b7,base,maximal,21,0.2703089754426452,0.0759998289989678
qwen3_1b7,base,maximal,22,0.2824852733925108,0.0734721539066419
qwen3_1b7,base,maximal,23,0.2837279489608445,0.0733650410050086
qwen3_1b7,base,maximal,24,0.2815325699074762,0.0709765098265793
qwen3_1b7,base,maximal,25,0.273349009298491,0.0713661085092841
qwen3_1b7,base,maximal,26,0.2624554869242446,0.0745530808592326
qwen3_1b7,base,maximal,27,0.2476452545852595,0.0752722689223934
qwen3_1b7,base,maximal,28,0.2321308650395035,0.0751159167906609
qwen3_1b7,base,tier0,0,0.3928935127288352,0.2708758581270872
qwen3_1b7,base,tier0,1,0.3769540884239597,0.2763343579693392
qwen3_1b7,base,tier0,2,0.3967012633554563,0.2944459264255241
qwen3_1b7,base,tier0,3,0.1470505755998504,0.2022055834326609
qwen3_1b7,base,tier0,4,0.1418193223701221,0.1949207362591568
qwen3_1b7,base,tier0,5,0.1458149959481814,0.1923305813009751
qwen3_1b7,base,tier0,6,0.156491068181869,0.1933567049359567
qwen3_1b7,base,tier0,7,0.1411737966201987,0.1866316518351654
qwen3_1b7,base,tier0,8,0.1285432524542328,0.1766015472741896
qwen3_1b7,base,tier0,9,0.1398254447014441,0.1805121495626231
qwen3_1b7,base,tier0,10,0.1389686451122482,0.1706879887644546
qwen3_1b7,base,tier0,11,0.1503784475673399,0.1629047528538562
qwen3_1b7,base,tier0,12,0.1525782019700784,0.1619046142027185
qwen3_1b7,base,tier0,13,0.1520992763037764,0.1663071023651448
qwen3_1b7,base,tier0,14,0.1632940460303299,0.1630567530487446
qwen3_1b7,base,tier0,15,0.1643801819905348,0.1526269706219067
qwen3_1b7,base,tier0,16,0.1512498336525083,0.143698872008582
qwen3_1b7,base,tier0,17,0.1694224286196249,0.1652337902918411
qwen3_1b7,base,tier0,18,0.1837779064437191,0.1707434948790425
qwen3_1b7,base,tier0,19,0.2030377750999237,0.1916902397599596
qwen3_1b7,base,tier0,20,0.2238313172479152,0.2120260062491004
qwen3_1b7,base,tier0,21,0.3050316886361352,0.2492617682840665
qwen3_1b7,base,tier0,22,0.3569673401960889,0.2789328623148123
qwen3_1b7,base,tier0,23,0.3590898106555411,0.2848146448475816
qwen3_1b7,base,tier0,24,0.3168224529233557,0.2383076191293332
qwen3_1b7,base,tier0,25,0.330932944021638,0.2570559723425055
qwen3_1b7,base,tier0,26,0.3357674736753855,0.2729641939314433
qwen3_1b7,base,tier0,27,0.3381204177334125,0.2821830878216905
qwen3_1b7,base,tier0,28,0.2616743299709398,0.2761018671462422
qwen3_1b7,ft00,maximal,0,0.27801048612048235,0.06724466053955443
qwen3_1b7,ft00,maximal,1,0.27815021838192555,0.06789054261222227
qwen3_1b7,ft00,maximal,2,0.3138277342781519,0.06809344956860779
qwen3_1b7,ft00,maximal,3,0.330598235603873,0.08297412821448376
qwen3_1b7,ft00,maximal,4,0.33276900080629274,0.08914044047229565
qwen3_1b7,ft00,maximal,5,0.3415732228734873,0.0835770213134605
qwen3_1b7,ft00,maximal,6,0.33285294414742905,0.08633051091919973
qwen3_1b7,ft00,maximal,7,0.3402686703740716,0.07986393578338714
qwen3_1b7,ft00,maximal,8,0.3142817123726762,0.08298777832219886
qwen3_1b7,ft00,maximal,9,0.3157477983757845,0.08121808430059076
qwen3_1b7,ft00,maximal,10,0.29460307777218436,0.0801201676006416
qwen3_1b7,ft00,maximal,11,0.29062583086271365,0.07967213535630253
qwen3_1b7,ft00,maximal,12,0.2796472884648806,0.07703765780701509
qwen3_1b7,ft00,maximal,13,0.2924308108377523,0.07606071679391711
qwen3_1b7,ft00,maximal,14,0.2931365706514669,0.0761103287759501
qwen3_1b7,ft00,maximal,15,0.2802441308168621,0.07923365270559012
qwen3_1b7,ft00,maximal,16,0.26097159090104727,0.08381290654023696
qwen3_1b7,ft00,maximal,17,0.26977714272259523,0.07584955345220586
qwen3_1b7,ft00,maximal,18,0.2733821443567439,0.07611330410732353
qwen3_1b7,ft00,maximal,19,0.26918062341730353,0.07592265174465403
qwen3_1b7,ft00,maximal,20,0.25548551693269184,0.07694700387410222
qwen3_1b7,ft00,maximal,21,0.2559900857012459,0.0739833237537535
qwen3_1b7,ft00,maximal,22,0.26787788322901945,0.07339942610818857
qwen3_1b7,ft00,maximal,23,0.2614528985649118,0.07277047071164153
qwen3_1b7,ft00,maximal,24,0.258544749494067,0.07507273437035826
qwen3_1b7,ft00,maximal,25,0.2494455324712751,0.07783012129341936
qwen3_1b7,ft00,maximal,26,0.2519213289002626,0.07900034141291316
qwen3_1b7,ft00,maximal,27,0.2491408028224242,0.07947985741638845
qwen3_1b7,ft00,maximal,28,0.2533929772123235,0.07383220122647156
qwen3_1b7,ft00,tier0,0,0.36416933955515435,0.06581213015748888
qwen3_1b7,ft00,tier0,1,0.3516671396582375,0.07112454260880358
qwen3_1b7,ft00,tier0,2,0.3471829962349833,0.07417498657960987
qwen3_1b7,ft00,tier0,3,0.31658356983701647,0.08067308569226822
qwen3_1b7,ft00,tier0,4,0.30415403337316865,0.08450592294699076
qwen3_1b7,ft00,tier0,5,0.33823246160202136,0.08230793836872236
qwen3_1b7,ft00,tier0,6,0.32267821964651916,0.08220301470925324
qwen3_1b7,ft00,tier0,7,0.3668643216183588,0.08614720446047087
qwen3_1b7,ft00,tier0,8,0.34941911063076775,0.08930049943025464
qwen3_1b7,ft00,tier0,9,0.3458301390295048,0.08904481190857667
qwen3_1b7,ft00,tier0,10,0.3149551281121166,0.0846827535778947
qwen3_1b7,ft00,tier0,11,0.30219047234371493,0.08545300019831806
qwen3_1b7,ft00,tier0,12,0.29271423257689483,0.0859340337040027
qwen3_1b7,ft00,tier0,13,0.3179605152741008,0.08381813551702792
qwen3_1b7,ft00,tier0,14,0.2974237944566994,0.08243577324621738
qwen3_1b7,ft00,tier0,15,0.2765540229790487,0.07873499280158154
qwen3_1b7,ft00,tier0,16,0.2655044638106502,0.07894266979123447
qwen3_1b7,ft00,tier0,17,0.25410664419929996,0.0807426321879291
qwen3_1b7,ft00,tier0,18,0.27058765015392183,0.08365009395658764
qwen3_1b7,ft00,tier0,19,0.27600136746282034,0.08424258962301907
qwen3_1b7,ft00,tier0,20,0.28393149663496203,0.07737997010073347
qwen3_1b7,ft00,tier0,21,0.2995562004117355,0.0724716146165009
qwen3_1b7,ft00,tier0,22,0.28821000680575154,0.0710641387991445
qwen3_1b7,ft00,tier0,23,0.2956640272715722,0.07120310203187823
qwen3_1b7,ft00,tier0,24,0.2898848887878857,0.07334360893832746
qwen3_1b7,ft00,tier0,25,0.3375993160762901,0.06794545040184644
qwen3_1b7,ft00,tier0,26,0.3276108141175537,0.06635267351565627
qwen3_1b7,ft00,tier0,27,0.345614019439879,0.06469017705596343
qwen3_1b7,ft00,tier0,28,0.3387600770383846,0.0684761508788931
qwen3_1b7,ft09,maximal,0,0.2779092659051969,0.06721102684028453
qwen3_1b7,ft09,maximal,1,0.2780913361823729,0.06828298099234535
qwen3_1b7,ft09,maximal,2,0.3200079552532992,0.06890719215257719
qwen3_1b7,ft09,maximal,3,0.3364772206352876,0.07994738137698583
qwen3_1b7,ft09,maximal,4,0.34609194602722226,0.08581157112437586
qwen3_1b7,ft09,maximal,5,0.35420485562559106,0.08376744186276114
qwen3_1b7,ft09,maximal,6,0.34786083004541124,0.08213334582892237
qwen3_1b7,ft09,maximal,7,0.3488004204686325,0.07993712643360837
qwen3_1b7,ft09,maximal,8,0.34647636772409796,0.0829111833830426
qwen3_1b7,ft09,maximal,9,0.3555624612884762,0.08039154335697071
qwen3_1b7,ft09,maximal,10,0.3225605355794911,0.08012825721338142
qwen3_1b7,ft09,maximal,11,0.31741705234370593,0.07932972929566197
qwen3_1b7,ft09,maximal,12,0.31844642383393373,0.07700321143239154
qwen3_1b7,ft09,maximal,13,0.31026068758133857,0.0762567885084759
qwen3_1b7,ft09,maximal,14,0.30662646296773155,0.078579563179546
qwen3_1b7,ft09,maximal,15,0.29828908709121815,0.07962433967739593
qwen3_1b7,ft09,maximal,16,0.29205596470045997,0.08156882841730304
qwen3_1b7,ft09,maximal,17,0.29346073756344254,0.08166606540153769
qwen3_1b7,ft09,maximal,18,0.29557977482121,0.08277519637443702
qwen3_1b7,ft09,maximal,19,0.2965580903302207,0.07837499335598562
qwen3_1b7,ft09,maximal,20,0.27962415232949206,0.07648500752586221
qwen3_1b7,ft09,maximal,21,0.27721380506010485,0.0760892097125269
qwen3_1b7,ft09,maximal,22,0.3009188249164793,0.07309473078359272
qwen3_1b7,ft09,maximal,23,0.3051777623154699,0.07316506115651475
qwen3_1b7,ft09,maximal,24,0.2949375543711516,0.07201194396187302
qwen3_1b7,ft09,maximal,25,0.2822535923061648,0.07292091016562631
qwen3_1b7,ft09,maximal,26,0.2701811702006565,0.07527231954113793
qwen3_1b7,ft09,maximal,27,0.26396211557377247,0.07788048169484182
qwen3_1b7,ft09,maximal,28,0.2567372440564169,0.07327097232195774
qwen3_1b7,ft09,tier0,0,0.3641767221484937,0.06583516639549683
qwen3_1b7,ft09,tier0,1,0.3515622027322032,0.07079310188313502
qwen3_1b7,ft09,tier0,2,0.35120783158557134,0.07182510711123286
qwen3_1b7,ft09,tier0,3,0.3168035668179974,0.07834035989991366
qwen3_1b7,ft09,tier0,4,0.32254340575925583,0.08577896065519382
qwen3_1b7,ft09,tier0,5,0.34559986828071443,0.08001090487798256
qwen3_1b7,ft09,tier0,6,0.31798909389852237,0.08073805652747845
qwen3_1b7,ft09,tier0,7,0.3285425833149458,0.0850624175652249
