feature,fire_cellA,rho_year,cos_ridge,fire_cellB_rulers,fire_eng_tier0_frags,fire_akk_maximal_frags,np_label,np_category
10641,0.3581990142533635,-0.4438661530985723,0.0030137377,0.034313725490196,0.0143218197135636,0.0008424599831508,HTTPError: HTTP Error 404: Not Found,other
4116,0.5594778207006794,0.4422176797062406,0.03690664,0.0049019607843137,0.0025273799494524,0.0033698399326032,HTTPError: HTTP Error 404: Not Found,other
545,0.7640868522712135,0.3997708808724595,0.03411296,0.0588235294117647,0.0446503791069924,0.0050547598989048,HTTPError: HTTP Error 404: Not Found,other
14701,0.6966830957772745,0.3864314007885425,0.021383094,0.0147058823529411,0.004212299915754,0.0,HTTPError: HTTP Error 404: Not Found,other
7404,0.6299453843079792,0.3654105043525596,0.020078288,0.0196078431372549,0.0438079191238416,0.0176916596461668,HTTPError: HTTP Error 404: Not Found,other
697,0.4919408552018116,0.3623519881518315,0.03596771,0.0147058823529411,0.0227464195450716,0.0623420387531592,HTTPError: HTTP Error 404: Not Found,other
13746,0.0736645797255894,-0.359221751202867,-0.031739675,0.0,0.012636899747262,0.0016849199663016,HTTPError: HTTP Error 404: Not Found,other
1094,0.2941254828826428,-0.3578627482750971,-0.06383204,0.3382352941176471,0.3336141533277169,0.0438079191238416,HTTPError: HTTP Error 404: Not Found,other
2623,0.4748901025709338,0.3542110912893217,0.013842504,0.0,0.0,0.0,HTTPError: HTTP Error 404: Not Found,other
3504,0.1446649793526042,-0.3364883379223323,-0.09087211,0.0098039215686274,0.0117944397641112,0.058972198820556,HTTPError: HTTP Error 404: Not Found,other
15461,0.1731717064073531,-0.3303603555302389,-0.020116644,0.0784313725490196,0.0741364785172704,0.0025273799494524,HTTPError: HTTP Error 404: Not Found,other
14966,0.3403490075929132,0.3285288832849954,0.046637952,0.0,0.0117944397641112,0.0,HTTPError: HTTP Error 404: Not Found,other
9262,0.4391900892500333,0.3177210952437512,-0.007531971,0.0833333333333333,0.1575400168491996,0.1381634372367312,HTTPError: HTTP Error 404: Not Found,other
12142,0.6339416544558412,0.3018845958559988,0.041262757,0.034313725490196,0.0345408593091828,0.0008424599831508,HTTPError: HTTP Error 404: Not Found,other
13674,0.2769415212468363,-0.2952495140685812,0.01390478,0.5196078431372549,0.2173546756529064,0.0235888795282224,HTTPError: HTTP Error 404: Not Found,other
11719,0.149726921539896,-0.2923883046223616,-0.028606132,0.0147058823529411,0.0185341196293176,0.4532434709351305,HTTPError: HTTP Error 404: Not Found,other
13793,0.5237778073797789,-0.2664036290375882,-0.08276541,0.1617647058823529,0.6133108677337826,0.0488626790227464,HTTPError: HTTP Error 404: Not Found,other
3111,0.5782602903956308,0.2637308639670051,0.016411027,0.0539215686274509,0.2156697556866048,0.1996630160067397,HTTPError: HTTP Error 404: Not Found,other
2504,0.5636072998534701,0.2601302024745613,0.016265208,0.0539215686274509,0.0556023588879528,0.004212299915754,HTTPError: HTTP Error 404: Not Found,other
2807,0.3518049820167843,-0.2578723569032229,-0.0043218588,0.088235294117647,0.0311710193765796,0.0025273799494524,HTTPError: HTTP Error 404: Not Found,other
11713,0.1455974423871053,-0.2575993211506491,0.019891826,0.0490196078431372,0.0278011794439764,0.0025273799494524,HTTPError: HTTP Error 404: Not Found,other
16090,0.1785000666045024,-0.2518069145352509,-0.008028249,0.1323529411764706,0.1693344566133108,0.9654591406908172,HTTPError: HTTP Error 404: Not Found,other
3121,0.0635406953510057,-0.2511723955089824,-0.019506024,0.0441176470588235,0.0311710193765796,0.0050547598989048,HTTPError: HTTP Error 404: Not Found,other
11275,0.1839616358065805,0.2416073089331211,0.037905533,0.0147058823529411,0.012636899747262,0.0134793597304128,HTTPError: HTTP Error 404: Not Found,other
