feature,fire_cellA,rho_year
35088,0.6272812042094046,0.5405213546759401
54372,0.24430531503929664,-0.38581578805307715
21884,0.35140535500199815,0.37979699114594184
30278,0.09364593046489943,-0.379350518831674
37172,0.07979219395231117,-0.371406560544577
47554,0.08085786599174104,-0.3553180446999798
15696,0.063407486346077,-0.32495092560355715
48915,0.17237245237778073,0.32344374562984557
25468,0.065405621420008,-0.32176110222311766
4182,0.1786332756094312,0.3202302393432592
11892,0.06487278540029306,-0.31716926607854884
35653,0.11309444518449448,0.3104918406328137
27975,0.39230051951511924,0.289391828778781
44109,0.15958438790462234,-0.28669553898597644
64980,0.16970827227920607,0.2864104595134387
58479,0.11509258025842548,0.279259839912235
6343,0.07659517783402157,0.27877728885155223
56771,0.23751165578793126,-0.2736717132891616
30669,0.047155987744771546,-0.27304769095075754
1788,0.05954442520314373,-0.26964887469138576
63263,0.8000532836019715,0.26891196336335615
12019,0.04315971759690955,-0.26830844987038915
62448,0.07526308778473424,0.26568055915183525
8065,0.19821499933395498,0.26370168729880933
23135,0.10283735180498202,0.26186051236762836
3595,0.2654855468229652,0.25528863704916366
51950,0.04569068869055548,0.2511493746729227
28006,0.2437724790195817,0.24332605487020553
48811,0.05807912614892767,-0.23566655274303488
64502,0.06367390435593447,-0.22907277857371933
17759,0.3825762621553217,0.22774747878746582
62706,0.0923138404156121,-0.22670331707153915
23633,0.0903157053416811,0.21810204747283887
54808,0.2886639136805648,-0.2173955977193478
58908,0.13787132010123884,0.21386533804651242
19191,0.235646729718929,0.2129715926716482
38557,0.11455974423871054,0.21130692568079784
61967,0.18849074197415747,-0.20611624208841026
128,0.07246569868123084,-0.19955440310300276
57458,0.07140002664180099,0.19832512208555628
28671,0.028240309044891436,-0.19510821675542545
30790,0.1629146130278407,-0.19506965184343578
46065,0.18556014386572534,0.19447617249541121
22834,0.07979219395231117,0.1937728106081479
51306,0.030904489143466097,-0.19305596291388444
20427,0.05767949913414147,0.19062024548690623
31423,0.061808978286932194,-0.19022720099982723
33581,0.09737578260290396,-0.1894751447763252
12322,0.03783135739976022,0.18891276410558885
47511,0.0843213001198881,0.18850165317810458
