# 004_submit_C3  host=g0381  start=Wed Sep  2 04:17:06 UTC 2026  timeout=1800s
# HEAD=d2b603ef
# ---------------------------------------------------------
Submitted batch job 33318
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           33318_1 voltagepa  C3_emin  yarin.b  R       0:04      1 g0377
           33318_2 voltagepa  C3_emin  yarin.b  R       0:04      1 g0377
           33318_3 voltagepa  C3_emin  yarin.b  R       0:04      1 g0378
           33318_4 voltagepa  C3_emin  yarin.b  R       0:04      1 g0375
           33318_0 voltagepa  C3_emin  yarin.b  R       0:05      1 g0381
             33317 voltagepa  C2_gate  yarin.b  R       1:15      1 g0381
             33315 voltagepa AGENT_ru  yarin.b  R      11:03      1 g0381
# ---------------------------------------------------------
# exit=0  end=Wed Sep  2 04:17:11 UTC 2026
